OBJECTID,ROUTEPATTERN,AGENCYNAME,ROUTENAME,ROUTENUMBER,MODE,Shape__Length,lon,lat
115362,00166,RTH,Birkenhead College To Beach Haven,001,School Bus,5675.399497293424,174.699670000466,-36.7886199990928
115363,00180,RTH,Hobsonville Primary School to Massey West,001,School Bus,11014.30955997941,174.648529999692,-36.7986899993966
115364,00186,RTH,Onehunga High to Mangere East,001,School Bus,12721.220005192505,174.771190000426,-36.9195399992825
115365,00188,RTH,Royal Oak Intermediate to Favona,001,School Bus,9779.981555812468,174.77349999995,-36.9164599992017
115366,00261,BAYES,Hatfields Beach To Orewa Schools,002,School Bus,11102.72875673524,174.694579999513,-36.5652399988849
115367,00272,BAYES,Orewa Schools To Hatfields Beach,002,School Bus,11110.672523683681,174.69463999967,-36.5652599986648
115368,00274,RTH,Birkenhead College And Birkdale Intermediate To Chivalry Rd,002,School Bus,6249.624543434296,174.739949999457,-36.7851299989794
115369,00280,RTH,Royal Oak Intermediate to Mangere Bridge,002,School Bus,5994.188675294395,174.788969999988,-36.9407499991145
115370,00284,RTH,Onehunga High to Favona,002,School Bus,10338.133685907247,174.771190000426,-36.9195399992825
115371,00364,RTH,Carmel And Westlake Schools To Chatswood,003,School Bus,14382.904700680638,174.751420000469,-36.7786799991662
115372,00366,RTH,Onehunga High to Mangere,003,School Bus,10263.07595961327,174.771190000426,-36.9195399992825
115373,00368,RTH,Royal Oak Intermediate to Mangere,003,School Bus,9697.991841378665,174.77349999995,-36.9164599992017
115374,00466,RTH,Birkenhead College To Highbury,004,School Bus,4723.154890675421,174.701039999733,-36.7993299987472
115375,00557,RTH,Kaurilands To Green Bay High School,005,School Bus,5383.651033430447,174.649959999615,-36.9107499993478
115376,00558,RTH,Green Bay High School To Kaurilands,005,School Bus,5623.535565435507,174.650240000269,-36.9103499986809
115377,00559,BAYES,Arkles Bay/Manly To Orewa College,005,School Bus,15798.849938551983,174.694850000232,-36.5929199991139
115378,00564,BAYES,Orewa College To Arkles Bay/Manly,005,School Bus,17056.534900130104,174.695080000541,-36.5932599991379
115379,00566,RTH,Onehunga High To Mangere,005,School Bus,10263.07595961327,174.771190000426,-36.9195399992825
115380,00651,RTH,Titirangi To Remuera Schools,006,School Bus,23299.526704482847,174.800039999509,-36.8648699990767
115381,00652,RTH,Remuera Schools To Titirangi,006,School Bus,24546.599352221787,174.800039999509,-36.8648699990767
115382,00663,RTH,Glen Eden To Green Bay High School,006,School Bus,6459.177771398269,174.640309999546,-36.9121199994016
115383,00667,BAYES,Gulf Harbour To Orewa College Via Vipond Rd,006,School Bus,21933.113357266673,174.694850000232,-36.5929199991139
115384,00668,RTH,Green Bay High School To Glen Eden,006,School Bus,6613.008253314616,174.65692,-36.9123799990062
115385,00669,RTH,Beach Haven To Westlake Schools,006,School Bus,17378.24870063692,174.74927999962,-36.7743599995114
115386,00672,BAYES,Orewa College To Gulf Harbour Via Vipond Rd,006,School Bus,23231.60908099752,174.695080000541,-36.5932599991379
115387,00674,RTH,Westlake Boys To Beach Haven,006,School Bus,14735.076021032093,174.750180000373,-36.7784899993219
115388,00767,BAYES,Brightside Rd To Orewa College,007,School Bus,7581.297234764593,174.694800000025,-36.6027799988102
115389,00768,BAYES,Orewa College to Brightside Rd,007,School Bus,12900.61081485867,174.673359999778,-36.6046299994475
115390,00769,RTH,Salisbury Rd To Westlake Schools,007,School Bus,15756.031710202305,174.757370000151,-36.778269999234
115391,00771,RTH,Glengarry Shops To Green Bay High School,007,School Bus,5555.808132728393,174.648599999709,-36.9209099988686
115392,00772,RTH,Green Bay High to Oratia,007,School Bus,8872.687788096393,174.627586616241,-36.9108388710863
115393,00773,RTH,Oratia to Green Bay High School,007,School Bus,8685.487660582621,174.624619999893,-36.9094899994421
115394,00855,RTH,New Lynn To Blockhouse Bay Intermediate,008,School Bus,6720.501379291167,174.684370000197,-36.9171499995167
115395,00863,RTH,Bayview To Westlake Schools,008,School Bus,12191.536726499795,174.719230000163,-36.7696499994493
115396,00864,RTH,Blockhouse Bay Intermediate to New Lynn,008,School Bus,6731.040468784944,174.683830000554,-36.9182599987139
115397,00865,BAYES,East Coast Rd To Kingsway School,008,School Bus,25343.190668723106,174.72712000044,-36.7115299992314
115398,00866,RTH,Westlake Schools To Bayview,008,School Bus,11940.443749982569,174.720069999743,-36.7677899993223
115399,00868,BAYES,KingsWay School To Smales Farm,008,School Bus,26555.216383822535,174.680700000216,-36.6053499990721
115400,00959,RTH,Glenfield To Westlake Schools,009,School Bus,12204.439528308347,174.749410000297,-36.7799699988636
115401,00961,RTH,Onewa Rd To Westlake Schools,009,School Bus,10140.407438755105,174.75467000022,-36.7806699988654
115402,00963,BAYES,Torbay To Kingsway School,009,School Bus,19767.664129702807,174.699039999854,-36.682499998716
115403,00964,RTH,Westlake Schools To Glenfield.,009,School Bus,14975.96393656334,174.750109999781,-36.7718599993652
115404,00966,BAYES,Kingsway School To Torbay,009,School Bus,20594.653937352225,174.680700000216,-36.6053499990721
115405,00968,RTH,Westlake Girls To Verrans Corner,009,School Bus,13148.877356673127,174.751160000407,-36.7840199987064
115406,01061,NZB,Sandringham to Ponsonby Int,010,School Bus,10542.603749110196,174.743000000036,-36.84795999943
115407,01063,BAYES,Greenhithe To Kingsway School,010,School Bus,28662.745417753285,174.650650000031,-36.6356699994763
115408,01066,NZB,Ponsonby Int to Sandringham,010,School Bus,10549.62206626625,174.743000000036,-36.84795999943
115409,01068,BAYES,Kingsway School To Greenhithe,010,School Bus,29558.829151739064,174.680700000216,-36.6053499990721
115410,01070,RTH,Westlake Girls To Beach Haven,010,School Bus,15879.094569845374,174.699670000466,-36.7886199990928
115411,01152,BAYES,Whangaparaoa College To Silverdale,011,School Bus,10086.511232718229,174.696009999485,-36.6096299992728
115412,01153,BAYES,Silverdale To Whangaparaoa College,011,School Bus,10262.982190268838,174.688680000541,-36.6091999993183
115413,01154,RTH,Blockhouse Bay Intermediate To New Lynn Via Green Bay,011,School Bus,8794.66412951092,174.682020000223,-36.9121799989433
115414,01259,BAYES,Gulf Harbour To Kingsway School,012,School Bus,20287.035231130772,174.802370000413,-36.6040899995251
115415,01261,RTH,Spinella Dr To Glenfield Intermediate Primary,012,School Bus,13895.065530107038,174.719230000163,-36.7696499994493
115416,01263,RTH,Beach Haven To Northcote Schools And Takapuna,012,School Bus,15997.057575387971,174.699644138462,-36.7885686197218
115417,01266,RTH,Avondale_College to New Lynn,012,School Bus,3508.4072752779166,174.687950000453,-36.8900699994744
115418,01268,BAYES,Kingsway School To Gulf Harbour,012,School Bus,20249.53080744701,174.802370000413,-36.6040899995251
115419,01270,RTH,Takapuna Normal Intermediate To Beach Haven,012,School Bus,13847.849494230959,174.699644138462,-36.7885686197218
