Mode,Route Type,Route Num,Route Name,RPTP Level of Service,Area,month,passengers
Bus,Commuter,101,Pt Chevalier To Auckland University Via Jervois Rd,Peak,Central,2023-07-01,6680.0
Bus,Commuter,105,Westmere To Britomart Via Richmond Rd,Connector,Central,2023-07-01,34189.0
Bus,Commuter,106,Freemans Bay Loop,Connector,Central,2023-07-01,5420.0
Bus,Commuter,110,Westgate To City Centre Via Northwestern Motorway,Connector,West,2023-07-01,26095.0
Bus,Commuter,111,Royal Heights Loop,Local,West,2023-07-01,4236.0
Bus,Commuter,112,Hob Pt Wharf To Northwest Via W Harbour,Connector,West,2023-07-01,8811.0
Bus,Commuter,114,Hob Pt Wharf To Northwest Via Whenuapai,Local,West,2023-07-01,3102.0
Bus,Commuter,120,Henderson to Constellation Station via Westgate,Connector,West,2023-07-01,52173.0
Bus,Commuter,122,Huapai North To Westgate Via Kumeu,Rural Township,West,2023-07-01,1222.0
Bus,Commuter,125,Helensville To Westgate Via Kumeu,Rural Township,West,2023-07-01,4810.0
Bus,Commuter,125X,Helensville To City Centre Via Westgate Express,Peak,West,2023-07-01,5858.0
Bus,Commuter,126,Albany To Westgate Via Riverhead,Rural Township,West,2023-07-01,9297.0
Bus,Commuter,128,Hibiscus Coast Station To Helensville,Rural Township,West,2023-07-01,2440.0
Bus,Commuter,129,Westgate To City Centre Via Don Buck Rd,Peak,West,2023-07-01,3469.0
Bus,Commuter,131,Te Atatu Peninsula to Henderson,Connector,West,2023-07-01,16204.0
Bus,Commuter,132,Te Atatu Peninsula Loop To City Centre,Peak,West,2023-07-01,24394.0
Bus,Commuter,132X,Te Atatu Peninsula To City Centre Express,Peak,West,2023-07-01,3272.0
Bus,Commuter,133,Henderson To City Centre Via Te Atatu Rd,Connector,West,2023-07-01,28490.0
Bus,Commuter,133X,Henderson To City Centre Via Te Atatu Rd Express,Peak,West,2023-07-01,2558.0
Bus,Commuter,134,Henderson To City Centre Via Edmonton Rd,Connector,West,2023-07-01,21337.0
Bus,Commuter,138,Henderson to New Lynn via Rosebank Rd,Local,West,2023-07-01,11243.0
Bus,Commuter,141,Henderson West Loop Anticlockwise,Connector,West,2023-07-01,6430.0
Bus,Commuter,142,Henderson West Loop Clockwise,Connector,West,2023-07-01,5568.0
Bus,Commuter,143,Ranui to Henderson via Sturges Rd,Connector,West,2023-07-01,8682.0
Bus,Commuter,146,Waitakere Village to Henderson via Swanson and Central Park,Local,West,2023-07-01,8986.0
Bus,Commuter,14T,"Westgate to New Lynn via Triangle Rd, Lincoln Rd & Henderson",Frequent,West,2023-07-01,26937.0
Bus,Commuter,14W,"Westgate to New Lynn via Waimumu Rd, Lincoln Rd & Henderson",Frequent,West,2023-07-01,27539.0
Bus,Commuter,151,Parrs Park To New Lynn Via Kaurilands Rd,Peak,West,2023-07-01,1233.0
Bus,Commuter,152,Henderson to New Lynn via Sunnyvale and Glen Eden,Local,West,2023-07-01,15463.0
Bus,Commuter,154,Henderson to New Lynn via Glen Eden,Connector,West,2023-07-01,24731.0
Bus,Commuter,161,Brains Park to New Lynn,Local,West,2023-07-01,5700.0
Bus,Commuter,162,Henderson to New Lynn via Glendene,Connector,West,2023-07-01,15848.0
Bus,Commuter,170,Titirangi South to New Lynn,Local,West,2023-07-01,3507.0
Bus,Commuter,171,Laingholm To New Lynn,Local,West,2023-07-01,6262.0
Bus,Commuter,172,Glen Eden to New Lynn via Titirangi,Connector,West,2023-07-01,10853.0
